material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Aretes,34179,75000,3,Catalogo Oro\Aretes\34179
Oro 18k,Aretes,30016,80000,2,Catalogo Oro\Aretes\30016
Oro 18k,Aretes,30026,70000,2,Catalogo Oro\Aretes\30026
Oro 18k,Aretes,30002,60000,2,Catalogo Oro\Aretes\30002
Oro 18k,Aretes,34188,70000,3,Catalogo Oro\Aretes\34188
Oro 18k,Aretes,34009-ROSA,45000,3,Catalogo Oro\Aretes\34009-ROSA
Oro 18k,Cadenas,45016,105000,5,Catalogo Oro\Cadenas\45016
Oro 18k,Cadenas,44930,115000,4,Catalogo Oro\Cadenas\44930
Oro 18k,Cadenas,45061,115000,3,Catalogo Oro\Cadenas\45061
Oro 18k,Cadenas,45158,115000,1,Catalogo Oro\Cadenas\45158
Oro 18k,Cadenas,46033,465000,3,Catalogo Oro\Cadenas\46033
Oro 18k,Cadenas,42108,175000,4,Catalogo Oro\Cadenas\42108
Oro 18k,Cadenas,45026,215000,3,Catalogo Oro\Cadenas\45026
Oro 18k,Cadenas,45038,455000,3,Catalogo Oro\Cadenas\45038
Oro 18k,Cadenas,45036,335000,2,Catalogo Oro\Cadenas\45036
Oro 18k,Cadenas,44468,335000,7,Catalogo Oro\Cadenas\44468
Oro 18k,Cadenas,45078,265000,2,Catalogo Oro\Cadenas\45078
Oro 18k,Cadenas,44936,135000,4,Catalogo Oro\Cadenas\44936
Oro 18k,Cadenas,44833,215000,4,Catalogo Oro\Cadenas\44833
Oro 18k,Cadenas,41413,155000,4,Catalogo Oro\Cadenas\41413
Oro 18k,Cadenas,44873,175000,5,Catalogo Oro\Cadenas\44873
Oro 18k,Cadenas,45028,295000,3,Catalogo Oro\Cadenas\45028
Oro 18k,Cadenas,44000,175000,4,Catalogo Oro\Cadenas\44000
Oro 18k,Cadenas,45303,295000,3,Catalogo Oro\Cadenas\45303
Oro 18k,Cadenas,45308,415000,3,Catalogo Oro\Cadenas\45308
Oro 18k,Cadenas,43788,415000,3,Catalogo Oro\Cadenas\43788
Oro 18k,Cadenas,45761,115000,3,Catalogo Oro\Cadenas\45761
Oro 18k,Cadenas,40068,215000,3,Catalogo Oro\Cadenas\40068
Oro 18k,Cadenas,44898,415000,4,Catalogo Oro\Cadenas\44898
Oro 18k,Cadenas,40058,155000,3,Catalogo Oro\Cadenas\40058
Oro 18k,Cadenas,45066,215000,3,Catalogo Oro\Cadenas\45066
Oro 18k,Cadenas,44041,95000,4,Catalogo Oro\Cadenas\44041
Oro 18k,Cadenas,43786,315000,3,Catalogo Oro\Cadenas\43786
Oro 18k,Cadenas,40088,195000,3,Catalogo Oro\Cadenas\40088
